127.0.0.1, 2016-10-14 12:16:42, POST, /user/login, HTTP/1.1, 303, 0.085000
127.0.0.1, 2016-10-14 12:16:42, GET, /user/login, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-10-14 12:16:53, POST, /user/login, HTTP/1.1, 303, 0.078000
127.0.0.1, 2016-10-14 12:16:53, GET, /user/login, HTTP/1.1, 200, 0.076000
127.0.0.1, 2016-10-14 12:17:03, POST, /user/login, HTTP/1.1, 303, 0.073000
127.0.0.1, 2016-10-14 12:17:03, GET, /user/login, HTTP/1.1, 200, 0.070000
127.0.0.1, 2016-10-14 12:17:03, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:17:09, GET, /user/login, HTTP/1.1, 200, 0.075000
127.0.0.1, 2016-10-14 12:17:13, GET, /user/register, HTTP/1.1, 200, 0.074000
127.0.0.1, 2016-10-14 12:17:17, GET, /, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-10-14 12:17:19, GET, /user/login, HTTP/1.1, 200, 0.074000
127.0.0.1, 2016-10-14 12:17:29, POST, /user/login, HTTP/1.1, 303, 0.087000
127.0.0.1, 2016-10-14 12:17:29, GET, /user/login, HTTP/1.1, 200, 0.071000
127.0.0.1, 2016-10-14 12:17:29, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:17:31, GET, /user/register, HTTP/1.1, 200, 0.071000
127.0.0.1, 2016-10-14 12:17:42, POST, /user/register, HTTP/1.1, 303, 0.086000
127.0.0.1, 2016-10-14 12:17:42, GET, /, HTTP/1.1, 200, 0.078000
127.0.0.1, 2016-10-14 12:17:42, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-14 12:17:51, GET, /edit, HTTP/1.1, 200, 0.071000
127.0.0.1, 2016-10-14 12:17:51, GET, /start/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-14 12:18:01, POST, /edit, HTTP/1.1, 303, 0.075000
127.0.0.1, 2016-10-14 12:18:01, GET, /, HTTP/1.1, 200, 0.072000
127.0.0.1, 2016-10-14 12:18:01, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:18:03, GET, /edit/1, HTTP/1.1, 200, 0.095000
127.0.0.1, 2016-10-14 12:18:07, GET, /, HTTP/1.1, 200, 0.030000
127.0.0.1, 2016-10-14 12:18:12, GET, /user/logout, HTTP/1.1, 303, 0.065000
127.0.0.1, 2016-10-14 12:18:12, GET, /, HTTP/1.1, 200, 0.067000
127.0.0.1, 2016-10-14 12:18:14, GET, /user/login, HTTP/1.1, 200, 0.071000
127.0.0.1, 2016-10-14 12:18:22, POST, /user/login, HTTP/1.1, 303, 0.100000
127.0.0.1, 2016-10-14 12:18:22, GET, /, HTTP/1.1, 200, 0.072000
127.0.0.1, 2016-10-14 12:18:24, GET, /edit/1, HTTP/1.1, 200, 0.101000
127.0.0.1, 2016-10-14 12:21:16, GET, /start, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.009000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-14 12:21:16, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000000
